sample,sample_type,replicate,uPA dilution point,uPA (pg/mL),PSA dilution point,PSA (pg/mL),GAR IgG,PSA - ouPA,uPA - oPSA,PSA CLAMP,uPA CLAMP
1,blank,1,uPA0,0,PSA0 ,0,887.7750244,1030.75,1432.410034,1409.135071,1300.73999
2,ratio,1,uPA10,300000,PSA0 ,0,900.4100342,1262.835022,1562.75,1345.960083,10302.18066
3,ratio,1,uPA9,100000,PSA1,15.2,927.0100098,1238.22998,1507.555054,1427.090088,9865.94043
4,ratio,1,uPA8,33300,PSA2,45.7,880.460022,1157.765076,1565.410034,1536.150024,9178.330566
5,ratio,1,uPA7,11111,PSA3,137,904.4000244,1189.685059,1540.140015,1844.710083,8733.445313
6,ratio,1,uPA6,3700,PSA4,411,913.710022,1103.900024,1481.619995,3198.650146,5472.950195
7,ratio,1,uPA5,1230,PSA5,1230,976.2200317,1119.859985,1448.369995,5810.77002,3289.090088
8,ratio,1,uPA4,411,PSA6,3700,1054.690063,1187.025024,1509.550049,9444.330078,1953.105042
9,ratio,1,uPA3,137,PSA7,11111,1066.660034,1207.640015,1498.910034,9996.280273,1466.98999
10,ratio,1,uPA2,45.7,PSA8,33300,1088.605042,1226.26001,1638.560059,13141.72998,1372.560059
11,ratio,1,uPA1,15.2,PSA9,100000,1075.970093,1212.295044,1677.795044,13721.61035,1290.765076
12,ratio,1,uPA0,0,PSA10,300000,1171.72998,1329.335083,1822.100098,16034.48047,1349.950073
13,blank,2,uPA0,0,PSA0 ,0,869.8200073,1016.785034,1339.310059,1305.395081,1246.210083
14,ratio,2,uPA10,300000,PSA0 ,0,946.2950439,1162.420044,1424.430054,1323.350098,9440.339844
15,ratio,2,uPA9,100000,PSA1,15.2,942.9700317,1215.619995,1439.060059,1359.26001,10242.33008
16,ratio,2,uPA8,33300,PSA2,45.7,945.6300049,1110.550049,1378.545044,1369.900024,7128.800293
17,ratio,2,uPA7,11111,PSA3,137,920.3600464,1040.060059,1387.855042,1677.130066,5581.345215
19,ratio,2,uPA5,1230,PSA5,1230,891.1000366,1117.200073,1411.130005,5679.100098,3195.325073
20,ratio,2,uPA4,411,PSA6,3700,864.5,1231.580078,1380.540039,8327.129883,1979.705078
21,ratio,2,uPA3,137,PSA7,11111,848.5400391,1174.390015,1428.420044,9770.845703,1436.400024
22,ratio,2,uPA2,45.7,PSA8,33300,876.4700317,1155.77002,1483.615051,11062.94043,1240.890015
23,ratio,2,uPA1,15.2,PSA9,100000,940.3100586,1207.640015,1643.215027,13028.68066,1268.155029
24,ratio,2,uPA0,0,PSA10,300000,879.7950134,1222.27002,1750.280029,14274.2251,1233.575012