,experiment_id,reagent_lot,plate_id,date,MIF,MMP-1,Tie-2,TNF alpha,TNF beta,TNF RII,VEGF-A (165),VEGF-A (165),EMMPRIN,Oncostatin M (OSM),PTX3 (Pentraxin 3),Activin A,CCL18,CCL19,CCL20,TIMP1,Resistin,BMP9,CCL22,CD14,TGF-beta 1 (LAP domain in precursor),CXCL1,CXCL3,CXCL4,CXCL5,CXCL7,CXCL11,CXCL16,G-CSF,IFN beta,IFN gamma,60.3 - IFN gamma - nEL xDR - 1166,IL-1 alpha,IL-1 alpha,IL-18,IL-1 RA/RN,CCL4,IL-6,IL-6,IL-10,IL-10,IL-12 p40,IL-16,IL-1 beta,TNFRSF21 (DR6),Peptidoglycan recognition protein 1 (PGLYRP1/PGRP-S),Decorin,Thrombospondin-1,Neutrophil Elastase/ELA2,Galectin-1,Metalloproteinase inhibitor 2,Galectin-3,"Neutrophil gelatinase-associated lipocalin (NGAL, lipocalin-2)",soluble uPA-R,Angiopoietin-1,Transforming growth factor-beta-induced protein ig-h3
0,nEL2.5.201,Lot 1,1959,07-Feb-24,652.8776569,445.7955123,592.7083796,2740.843509,,221.0024205,8.402731683,4.185983973,336.9967519,23.08919967,,,18.21093588,46.95026089,126.2714866,1433.136842,,8.59010688,12.7253231,1317.809579,,368.9147171,45.13086204,6156.599823,71.66908543,470.8692854,64.12913225,257.9631367,172.6987151,37.16021263,53.7714829,,201.7410756,225.4968701,,1496.004306,2756.83542,1682.239289,3222.758312,360.0251654,157.0191491,10.45576979,105.3055727,2776.567906,6.75191755,7.298081601,118.0152857,112482.0721,656.717766,29721.72369,107.8167838,2863.702037,72.11696054,854.1064019,257.9299042,627.3697452
1,nEL2.5.206,Lot 1,1997,13-Feb-24,644.9229066,517.4859122,673.4514735,2712.960238,19.63517184,230.1226249,10.31498677,4.753177153,388.5933096,27.25841293,,,15.15280359,33.76971011,112.5236338,1549.064892,163.559462,10.79746972,8.920154121,1250.082317,,351.4588387,45.50955012,4898.232476,58.84869526,700.2537836,49.96652383,234.0358634,183.3251847,33.61402133,,,226.0982244,225.7628608,,1694.81446,3007.171527,1840.310526,3675.151463,364.4090487,170.1715232,12.07098801,94.42078081,3617.338959,6.06429044,7.318862842,103.7040914,,797.3175013,29340.84175,104.4071793,2877.468944,80.82118754,857.4537386,292.42164,608.0278315
2,nEL2.5.207,Lot 1,2001,14-Feb-24,697.1534217,475.9202656,549.7518324,2755.705592,,213.8730611,7.29638584,4.132448089,355.6907472,21.77293462,,,18.65095587,47.81365683,134.2428051,1392.090394,,6.914741129,8.064523114,1236.190084,53.10280448,387.9823758,43.05792564,6309.769757,71.71935478,504.1451553,65.54840357,246.0819886,179.0006377,35.78746179,45.43521639,,209.1852792,228.3992116,,1586.0489,,1720.804872,4174.195551,364.2820122,172.6923128,10.67890044,94.68300631,4467.794154,6.062905776,7.134911268,120.260879,,654.718539,31025.05562,100.4344457,2977.361734,73.30084586,859.5633935,276.5472293,650.9542224
3,nEL2.5.212,Lot 1,2064,21-Feb-24,662.6572334,505.2374571,492.3570426,2371.92523,15.6024967,217.4156555,,4.181096186,344.9759594,28.20810126,,,14.44068388,34.67674638,120.1514956,1514.746916,,9.184731815,8.586846483,1333.141224,,331.4754748,46.98096981,3783.336921,57.4957178,432.7653122,56.47697861,215.4443118,153.3106174,26.50156946,41.04046353,,213.2403547,218.2883161,36.17469703,1559.986727,2604.104533,1744.398005,3378.092118,360.4023388,176.0179716,9.857049957,98.50287396,2544.837079,5.311486552,7.202042154,98.42414231,,749.6650691,26021.17396,99.73775987,2396.499334,77.98953278,830.8492448,256.7476137,591.276185
4,nEL2.5.217,Lot 1,2115,27-Feb-24,691.3147792,489.0603504,434.735721,2477.46445,,198.7544239,8.888250353,4.38311149,391.0084056,23.04241096,559.7083496,195.1601212,14.47798453,34.61527793,106.7100911,1434.452432,,10.58533094,5.585465197,1204.229641,,329.3761739,40.93412387,4326.856242,53.92231591,463.329494,50.09919469,217.949227,166.1063557,26.82510928,42.15296236,,207.7669674,218.4693716,28.39979221,1565.859835,2350.875196,1846.18976,3223.913505,374.6800734,155.9263053,10.12679839,94.22416226,2669.832267,5.759686611,7.236436546,91.08076854,,814.6991394,26084.78885,92.9456828,2681.519223,73.99020235,801.7661095,256.920377,569.3535669
5,nEL2.5.218,Lot 1,2120,29-Feb-24,704.6444028,509.0263581,461.9153567,2317.74921,11.72228304,200.5819507,7.543689596,4.14256851,376.8878072,24.39418732,,,14.75258207,34.19854004,112.074122,1448.076826,,9.637580868,4.903910589,1204.630308,50.56629535,347.6093711,39.0472874,4656.744094,55.25381457,590.5230687,49.34116359,232.7099364,161.1291411,26.62388561,36.24798609,,213.1862741,217.9403166,27.25540324,1559.581862,2321.567587,1630.49009,4152.642708,376.5183527,158.4230982,9.604057587,95.78730404,2885.888585,5.355431229,6.851984757,92.4685463,,831.639456,25760.95421,94.58506907,2710.883609,72.36935869,829.4543524,274.6501451,612.3823041
6,nEL2.5.224,Lot 1,2226,12-Mar-24,655.5568688,486.8017518,561.3669468,2204.011745,11.31579774,215.7734825,8.417655294,4.226482464,375.6565268,25.1829375,502.1123608,196.2622059,14.70395335,34.04496812,100.923033,1477.033666,,8.359280864,4.237793456,1300.894315,,330.4510264,41.48219769,3852.108212,53.71798793,507.2478166,53.17376976,218.769566,173.9237421,26.23521052,39.30794233,,206.4732756,213.630537,36.21101572,1541.188706,,1534.298215,3262.75478,364.9808454,162.3775904,10.49148183,85.60228968,2654.274995,5.426011446,7.022797663,94.7826708,,789.0821126,24844.35,102.9850786,2389.586359,81.11790384,722.2099693,262.9055283,592.2884956
7,nEL2.5.225,Lot 1,2238,13-Mar-24,655.3849567,497.9245328,,2289.025553,,221.9970988,10.34139557,4.543915361,391.7072651,30.90694326,,,15.31493359,35.05098374,96.87053886,1502.80747,,8.14483731,5.548240887,1367.009818,,310.2925455,48.24959674,4543.110213,55.46746988,361.2631413,53.67038584,237.4056449,177.4889332,34.6931566,51.37679597,,207.4876001,218.8562207,35.71906671,1597.581979,,1795.165147,3047.705495,358.4226282,177.1597292,10.18172559,99.5749832,2176.431145,5.553402894,8.039066653,103.866947,,809.3523829,29606.81698,92.4287055,2430.857466,86.99912127,772.789471,272.3529745,616.8525721
8,nEL2.5.228,Lot 1,2286,18-Mar-24,636.2443544,487.0563955,527.608656,2443.974012,,212.1053492,8.493492638,4.137863525,352.521941,26.5949752,,,15.56865258,31.85281248,91.87929489,1455.583652,150.2178073,8.278024461,7.533049483,1296.067981,,334.5599245,33.36622739,3407.468946,58.69081601,335.4437215,49.76961916,220.1150962,168.5867002,31.95545462,,,209.5225349,218.3742027,,1460.601907,2524.961099,1489.085858,3545.873789,377.1062774,170.3954616,11.04873408,84.65178991,2239.238046,7.056495115,7.487448971,100.9811314,,783.1560603,26429.72423,99.20101421,2490.140475,82.13044792,700.5473213,250.088702,572.5943974
9,nEL2.5.229,Lot 1,2293,19-Mar-24,653.9906511,476.4305827,632.2042805,2231.513407,9.349071745,211.3793033,8.799874293,3.912677146,318.2873348,22.31077988,,,15.12098229,33.74558694,112.4418449,1447.567838,,7.952217769,7.949383868,1269.42732,,326.0726518,42.98962451,3774.67328,60.07732228,606.4155541,48.72781291,213.9261934,163.0459219,34.75647206,,,211.7058924,216.0771195,,1514.484474,2418.561997,1834.82681,3322.01822,361.9942474,166.7992525,10.6654364,94.71485703,2914.335912,5.761821276,7.018444153,98.94205813,,794.8846346,27051.61082,92.60212535,2700.176363,81.98470315,744.150409,253.9019541,588.2864722
10,nEL2.5.231,Lot 1,2322,25-Mar-24,746.6046193,513.0055912,711.4209267,2448.924014,,186.4719744,10.19974384,4.700288764,404.6502389,24.55026751,,,15.17164078,39.55789256,101.8758241,1593.974512,,,3.653390055,1444.663087,,355.0738633,45.12298601,5713.945053,57.07659413,550.121783,60.75615885,269.4340979,173.1633061,31.88194038,57.76436975,,204.4606245,201.24754,35.33614831,1654.469871,2676.00134,2217.751015,3087.323628,344.5775696,158.3121142,8.666626897,105.1128888,2612.103211,6.949777554,7.705942634,96.74179223,,707.5630463,26129.64093,89.64197808,2590.196275,73.5956321,739.8347467,279.726237,623.9788759
11,nEL2.5.234,Lot 2,2365,01-Apr-24,650.3046057,476.6738064,594.583865,2676.732153,23.48712385,217.4756577,10.35303908,4.592221403,357.1643459,22.96451648,,,17.27210042,38.71367867,130.389395,1300.123404,163.2763641,8.920946976,6.650968855,1420.951945,,353.4328996,51.44051489,4102.203034,63.92273104,350.5643337,58.86763657,233.8554212,190.7844114,,,,212.1130641,219.0863316,,1632.505474,2441.544827,1814.98852,2593.583608,366.4872473,173.7301175,10.25980416,107.3213008,2975.26023,6.175246631,7.478742301,125.124996,,681.8029375,26374.62246,102.8310791,2672.98627,73.85471242,805.6461302,262.2718516,636.3187223
12,nEL2.5.239,Lot 3,2398,11-Apr-24,668.7437019,524.3986103,658.8163518,2630.620815,11.13834733,230.4648311,8.649833202,4.811391831,412.0090441,27.7518015,478.9203761,184.3903247,16.18526907,38.99566598,139.1563666,1012.684143,,10.58441918,11.96653858,1108.457905,37.41796803,332.6876991,36.63875482,4647.070651,63.92308099,802.225503,62.110128,202.0929297,150.4717062,29.56250816,57.82537279,86.23684367,214.5438182,223.4581169,36.09839727,1497.236783,2816.181083,1775.986761,2308.266535,348.820906,195.2100579,9.87077641,99.11310455,2550.454737,5.094084823,6.200661385,103.2076055,104716.552,657.5787404,27092.30493,106.8669753,2520.700682,74.44399151,775.3183025,255.4664432,598.7994388
13,nEL2.5.242,Lot 3,2459,22-Apr-24,888.4258784,558.710482,744.4154849,2884.263682,23.52250782,252.4704992,9.920636407,4.919085488,421.539437,26.35806402,,244.0952895,18.31074669,70.30815255,164.0359478,1316.471298,,8.746086823,13.5198436,1356.714223,,436.6510247,48.31236338,5481.125146,74.93201514,881.2532585,75.99118754,252.3799222,154.9077377,35.65166505,,106.9111289,225.6509596,232.2511641,,1775.94357,3539.085661,1962.39697,2582.921622,368.2005358,201.0016418,12.16965378,117.3693726,,6.451440988,6.57079398,92.29020208,57859.87455,872.104414,31220.60152,123.0219883,2971.882517,76.80352023,780.9943765,293.3659863,676.4867814
14,nEL2.5.243,Lot 2,2480,23-Apr-24,721.2484184,474.1084133,535.6842442,2781.271809,,179.8533555,7.647793575,3.957673845,345.6299981,23.05857921,,,18.12776735,62.99733283,163.5095174,1287.808565,,,6.881331616,1333.454826,,368.5030648,37.18263496,4238.678786,65.65974522,449.6977186,79.40230653,249.3846181,170.4760966,27.90510653,49.6947394,,204.0873674,215.2154861,31.95592098,1654.671081,2577.686743,1839.390424,3023.601352,353.6456525,149.4075001,10.52932267,95.12527974,2680.600546,5.468567296,7.143408645,100.3625684,,729.342928,28856.22671,98.27272425,2579.020653,72.18276771,773.1081061,252.2359607,598.4211538
15,nEL2.5.244,Lot 2,2483,24-Apr-24,693.7974766,508.6448553,,2339.105983,19.57235261,233.5810488,12.47756065,5.04307264,310.6961702,26.85017089,,,19.26770492,72.67186558,216.5451077,1404.913692,,17.20491979,10.54249223,1359.022165,,423.9574232,41.01254017,4314.207932,77.91063977,641.7221102,94.77904306,329.6387693,200.8179173,,,,209.1564077,226.8422885,,1622.783519,2136.189131,2199.776173,3586.71969,357.0751516,183.4028764,13.09620943,113.7255997,2377.135959,7.269211856,8.179821312,106.6974437,,904.6292256,27963.94305,111.6410492,3084.233958,69.82511449,718.1944254,289.8184313,697.5410886
16,nEL2.5.245,Lot 3,2510,25-Apr-24,677.640713,521.6551105,476.0140342,2675.607412,13.07372053,238.4914576,7.803352135,4.675272385,349.1303756,26.02425985,393.2103801,,16.25477934,39.59601547,132.6019038,972.6937938,169.461681,7.77359936,18.66260325,1135.613403,,329.4426536,42.49139171,4161.034113,62.5808744,556.8666055,60.54529596,214.9860289,154.050646,34.41146058,50.15234174,89.37862701,205.7617518,222.9621436,,1501.594737,2593.457486,1694.862481,2028.470807,329.9290293,201.2262234,10.69694415,101.8979159,2918.523512,5.275616699,6.011664935,107.8542184,89522.81943,662.110066,26280.13774,99.00882454,2444.079634,75.96863325,621.4045282,262.3742108,584.1938834
17,nEL2.5.247,Lot 2,2524,29-Apr-24,609.2924953,468.8811837,574.9485803,2783.60939,24.60301314,198.6785613,,4.529830007,371.7346085,26.26413213,,,16.59505266,36.44550694,127.9442572,1333.395757,,,9.894691572,1442.501187,,332.6988004,55.93811528,3877.027399,60.95392067,397.4490335,61.44492201,223.714588,177.0219066,,,,208.8770445,210.7552659,,1450.785053,2759.330064,1655.005767,2931.218035,372.9423621,166.636677,10.95539916,97.09242389,2122.781096,,7.783315783,122.5486585,102937.8843,568.0573459,24675.18839,103.9537894,2355.418636,96.25018414,597.1563823,277.4718737,578.3503253
18,nEL2.5.249,Lot 2,2544,01-May-24,749.6418586,486.7360098,,2610.459808,32.395456,211.1553299,10.19142369,4.424183924,357.0914147,27.80028612,,,18.72471557,71.51748821,195.8984491,1497.254503,,11.80394592,9.452101919,1432.404139,,448.1477066,49.32545444,5144.487111,69.0824796,372.7187841,92.04328885,300.2313537,189.6247269,40.20226684,,,222.5896053,226.5022379,56.58120083,1596.384819,1782.316356,1615.674927,3091.133151,373.4413441,181.600537,11.81967839,100.7616352,3249.839142,7.750860064,8.228740233,96.31949982,,811.9936722,27469.56101,111.3277705,2731.830276,72.00241808,792.5074998,286.4546564,739.3076739
19,nEL2.5.250,Lot 3,2550,02-May-24,790.1090461,492.9755046,589.6867239,2713.970508,10.72063824,243.9493304,12.74656944,5.216520215,401.9429621,30.23222635,,,18.81758557,73.12456753,198.5103149,1159.522346,,9.440446316,17.32365037,1277.118722,,440.0824523,42.51808068,6324.723783,69.41319768,750.0176597,94.85031327,248.2963364,168.4888428,44.74582754,76.08700618,110.5200959,225.4354959,227.876691,,1668.653883,2428.571713,2126.750253,2235.280585,345.6771269,200.5997775,11.62633715,112.6105779,,6.773870908,7.676163522,99.18305824,29153.73211,815.1657068,30354.09329,116.5948362,2431.647572,71.39946355,814.6248863,266.6657539,740.9325562
